Event Num,Event Title,Article Set,Selected Article,Stakeholder,Giver,Receiver,Problematic Behavior,Aftermath,Platform,Link
34471,BP worker fired for Hitler video wins compensation,"('BP worker fired for Hitler video wins compensation', 'the daily telegraph', '2020-08-12')","('BP worker fired for Hitler video wins compensation', 'the daily telegraph', '2020-08-12')",1-r->1-i,1-r,1-i,Offensive & Objectionable Content_Hateful Content,Restricted from job/school,Facebook,https://www.bbc.com/news/world-australia-53730847
57539,"Calling candidate C-word did not breach ABC standards, media watchdog says","('Calling candidate C-word did not breach ABC standards, media watchdog says', 'the guardian', '2018-08-10')","('Calling candidate C-word did not breach ABC standards, media watchdog says', 'the guardian', '2018-08-10')",1-i->1-i,1-i,1-i,Offensive & Objectionable Content_Hateful Content,Public Apology,TV,https://www.theguardian.com/media/2018/aug/10/calling-candidate-c-word-did-not-breach-abc-standards-media-watchdog-says
45576,Cavallari posts photo of Cutler's nude booty,"('Cavallari posts photo of Cutler's nude booty', 'chicago tribune', '2017-03-29')","('Cavallari posts photo of Cutler's nude booty', 'chicago tribune', '2017-03-29')",1-i->n-r,1-i,n-r,Offensive & Objectionable Content_Nudity & Sexual Activity,,Instagram,https://www.mcall.com/2017/03/28/kristin-cavallari-shares-nude-photo-of-jay-cutler-on-instagram/
19616,Cher slams fan on Twitter over 'Burlesque' Academy Awards snub,"('Cher slams fan on Twitter over 'Burlesque' Academy Awards snub', 'the hindustan times', '2011-01-27')","('Cher slams fan on Twitter over 'Burlesque' Academy Awards snub', 'the hindustan times', '2011-01-27')",1-r->1-i,1-r,1-i,Offensive & Objectionable Content__Hateful Content,,Twitter,https://www.filmibeat.com/music/international/2011/cher-slams-fan-burlesque-oscar-snub-270111-aid0062.html
28929,CM Shivraj's son wades into bitter Congress-BJP Twitter war,"('CM Shivraj's son wades into bitter Congress-BJP Twitter war', 'the hindustan times', '2023-05-24')","('CM Shivraj's son wades into bitter Congress-BJP Twitter war', 'the hindustan times', '2023-05-24')",1-i->1-i,1-i,1-i,Offensive & Objectionable Content_Hateful Content,,Twitter,https://www.hindustantimes.com/cities/bhopal-news/son-of-madhya-pradesh-cm-shivraj-singh-chouhan-kartikey-enters-social-media-battle-with-congress-over-family-video-101684935692337.html
55302,Coarse tweets by users PM follows spark row,"('Coarse tweets by users PM follows spark row', 'the times of india', '2017-09-07')","('Coarse tweets by users PM follows spark row', 'the times of india', '2017-09-07')",n-r->1-i,n-r,1-i,Offensive & Objectionable Content_Hateful Content,Public Backlash,Twitter,https://timesofindia.indiatimes.com/india/gauri-lankeshs-murder-coarse-tweets-by-users-pm-follows-spark-row/articleshow/60400588.cms
17990,Comment: From hunter to hunted: The prankster DJs are just the latest sacrifice to the public appetite for humiliation and scorn,"('Comment: From hunter to hunted: The prankster DJs are just the latest sacrifice to the public appetite for humiliation and scorn', 'the guardian', '2012-12-10')","('Comment: From hunter to hunted: The prankster DJs are just the latest sacrifice to the public appetite for humiliation and scorn', 'the guardian', '2012-12-10')",S->n-r,S,n-r,Offensive & Objectionable Content__Hateful Content,,Twitter,https://www.theguardian.com/commentisfree/2012/dec/09/royal-prankster-hunter-hunted
1877,Congman files police plaint against web series,"('Congman files police plaint against web series', 'the times of india', '2018-07-11')","('Congman files police plaint against web series', 'the times of india', '2018-07-11')",n-i->1-i,n-i,1-i,Offensive & Objectionable Content_Hateful Content,Regulatory Inquiry,Online,https://www.outlookindia.com/society/congress-man-files-complaint-against-netflixs-sacred-games-for-insulting-rajiv-g-news-313350
2813,Cops probe Facebook post with PM Modi's photograph,"('Cops probe Facebook post with PM Modi's photograph', 'the times of india', '2018-04-24')","('Cops probe Facebook post with PM Modi's photograph', 'the times of india', '2018-04-24')",1-r->1-i,1-r,1-i,Offensive & Objectionable Content_Graphic&Violent Content,Legal Action,Facebook,https://timesofindia.indiatimes.com/city/varanasi/cops-probe-facebook-post-with-pm-modis-photograph/articleshow/63886061.cms
60467,Dealing With an Identity Hijacked on the Online Highway,"('Dealing With an Identity Hijacked on the Online Highway', 'new york times', '2011-09-25')","('Dealing With an Identity Hijacked on the Online Highway', 'new york times', '2011-09-25')",S->1-i,S,1-i,Offensive & Objectionable Content__Hateful Content,,Google,https://www.nytimes.com/2011/09/26/business/media/an-identity-hijacked-on-the-online-highway.html
49699,Delaware Governor Apologizes for 'Inappropriate' Twitter Photo; Aide Blames Her Clumsy Typing in Posting the Image,"('Delaware Governor Apologizes for 'Inappropriate' Twitter Photo; Aide Blames Her Clumsy Typing in Posting the Image', 'wall street journal', '2014-09-04')","('Delaware Governor Apologizes for 'Inappropriate' Twitter Photo; Aide Blames Her Clumsy Typing in Posting the Image', 'wall street journal', '2014-09-04')",1-i->n-r,1-i,n-r,Offensive & Objectionable Content_Nudity & Sexual Activity,Public Apology,Twitter,https://www.wsj.com/articles/delaware-governor-apologizes-for-inappropriate-twitter-photo-1409844821
3391,"Disha Patani on trolls: I don't care, I'm not uploading anything for their approval","('Disha Patani on trolls: I don't care, I'm not uploading anything for their approval', 'the hindustan times', '2018-05-02')","('Disha Patani on trolls: I don't care, I'm not uploading anything for their approval', 'the hindustan times', '2018-05-02')",n-r->1-i,n-r,1-i,Offensive & Objectionable Content_Hateful Content,,Social Media,https://www.hindustantimes.com/bollywood/disha-patani-on-trolls-i-don-t-care-i-m-not-uploading-anything-for-their-approval/story-RREBfQ3bfatL8brhjuK14O.html
20051,Egyptian artist defies Islamic extremism by posting nude self-photos on web,"('Egyptian artist defies Islamic extremism by posting nude self-photos on web', 'the hindustan times', '2011-11-17')","('Egyptian artist defies Islamic extremism by posting nude self-photos on web', 'the hindustan times', '2011-11-17')",1-i->n-r,1-i,n-r,Offensive & Objectionable Content_Nudity & Sexual Activity,,Online,https://indianexpress.com/article/news-archive/print/egyptian-activist-posts-nude-selfphotos-to-defy-islamic-extremism/
27922,Essex police examine golliwog pub landlord’s ‘racist’ Facebook posts,"('Essex police examine golliwog pub landlord’s ‘racist’ Facebook posts', 'the guardian', '2023-04-13')","('Essex police examine golliwog pub landlord’s ‘racist’ Facebook posts', 'the guardian', '2023-04-13')",1-r->n-r,1-r,n-r,Offensive & Objectionable Content_Hateful Content,Legal Action,Facebook,https://www.theguardian.com/world/2023/apr/13/essex-police-investigating-golliwog-pub-display-examine-landlord-lynching-post
18830,Facebook bans naked UK woman's Demi Moore-like baby bump photo,"('Facebook bans naked UK woman's Demi Moore-like baby bump photo', 'the hindustan times', '2011-02-21')","('Facebook bans naked UK woman's Demi Moore-like baby bump photo', 'the hindustan times', '2011-02-21')",S->1-r,S,1-r,Offensive & Objectionable Content_Nudity & Sexual Activity,Remove Content,Facebook,https://www.mid-day.com/news/world-news/article/facebook-bans-naked-woman-s-demi-moore-like-baby-bump-photo-113081
6339,"Fan’s Video, Shared by Trump, Plays to Base’s Sense of Grievance","('Fan’s Video, Shared by Trump, Plays to Base’s Sense of Grievance', 'new york times', '2019-04-09')","('Fan’s Video, Shared by Trump, Plays to Base’s Sense of Grievance', 'new york times', '2019-04-09')",1-i->n-r,1-i,n-r,Offensive & Objectionable Content_Hateful Content,Remove Content,Twitter,https://www.nytimes.com/2019/04/09/us/politics/donald-trump-video.html
44828,Footballer sacked for tweets about Arter's stillborn child,"('Footballer sacked for tweets about Arter's stillborn child', 'irish times', '2017-01-05')","('Footballer sacked for tweets about Arter's stillborn child', 'irish times', '2017-01-05')",1-i->1-i,1-i,1-i,Offensive & Objectionable Content_Hateful Content,Restricted from job/school,Twitter,https://www.irishtimes.com/sport/soccer/english-soccer/footballer-sacked-by-club-for-tweets-about-harry-arter-s-stillborn-child-1.2925365
2139,Four men arrested for broadcasting sex act on mobile app,"('Four men arrested for broadcasting sex act on mobile app', 'the nation', '2018-09-21')","('Four men arrested for broadcasting sex act on mobile app', 'the nation', '2018-09-21')",n-r->n-r,n-r,n-r,Offensive & Objectionable Content_Nudity & Sexual Activity,Legal Action,Online,https://thethaiger.com/news/national/four-men-arrested-over-sex-act-broadcast-on-mobile-app
13905,French online hate speech bill aims to wipe out racist trolling,"('French online hate speech bill aims to wipe out racist trolling', 'the guardian', '2019-06-29')","('French online hate speech bill aims to wipe out racist trolling', 'the guardian', '2019-06-29')",n-r->n-r,n-r,n-r,Offensive & Objectionable Content_Hateful Content,Legistlation,Social Media,https://www.theguardian.com/world/2019/jun/29/french-online-hate-speech-bill-aims-to-wipe-out-racist-trolling
22148,G2: Arts: Comment: Twitter has allowed us to see directly into the brain of 50 Cent. And it's not pretty,"('G2: Arts: Comment: Twitter has allowed us to see directly into the brain of 50 Cent. And it's not pretty', 'the guardian', '2010-09-27')","('G2: Arts: Comment: Twitter has allowed us to see directly into the brain of 50 Cent. And it's not pretty', 'the guardian', '2010-09-27')",1-i->n-r,1-i,n-r,Offensive & Objectionable Content__Hateful Content,,Twitter,https://www.theguardian.com/music/2010/sep/26/sam-leith-50-cent-twitter
18336,Gardai investigate after schoolgirl fight video goes viral,"('Gardai investigate after schoolgirl fight video goes viral', 'irish examiner', '2012-10-12')","('Gardai investigate after schoolgirl fight video goes viral', 'irish examiner', '2012-10-12')",1-r->n-r,1-r,n-r,Offensive & Objectionable Content_Graphic&Violent Content,,Online,https://www.irishexaminer.com/news/arid-20210674.html
28328,Gauahar Khan calls Justin Bieber and Hailey Bieber 'dumb' for their comment on fasting: 'Get an education...',"('Gauahar Khan calls Justin Bieber and Hailey Bieber 'dumb' for their comment on fasting: 'Get an education...'', 'the hindustan times', '2023-03-31')","('Gauahar Khan calls Justin Bieber and Hailey Bieber 'dumb' for their comment on fasting: 'Get an education...'', 'the hindustan times', '2023-03-31')",1-i->n-i,1-i,n-i,Offensive & Objectionable Content_Hateful Content,,Instagram,https://www.hindustantimes.com/entertainment/bollywood/gauahar-khan-calls-justin-bieber-and-hailey-bieber-dumb-for-their-comment-on-fasting-get-an-education-101680274058540.html
46576,"Heeding Supreme Court, Facebook makes it harder to remove offensive content","('Heeding Supreme Court, Facebook makes it harder to remove offensive content', 'the times of india', '2016-05-01')","('Heeding Supreme Court, Facebook makes it harder to remove offensive content', 'the times of india', '2016-05-01')",n-r->n-r,n-r,n-r,Offensive & Objectionable Content__Hateful Content,Legal Action,Facebook,https://economictimes.indiatimes.com/tech/internet/heeding-supreme-court-facebook-makes-it-harder-to-remove-offensive-content/articleshow/52048317.cms?from=mdr
28583,"Here's how Instagram plans to protect your DMs from spammers, unknown users","('Here's how Instagram plans to protect your DMs from spammers, unknown users', 'the times of india', '2023-08-05')","('Here's how Instagram plans to protect your DMs from spammers, unknown users', 'the times of india', '2023-08-05')",n-r->n-r,n-r,n-r,Offensive & Objectionable Content_Nudity & Sexual Activity,Social Media Policy Change,Instagram,https://timesofindia.indiatimes.com/gadgets-news/heres-how-instagram-plans-to-protect-your-dms-from-spammers-unknown-users/articleshow/102423983.cms
5479,Homewood-Flossmoor students upset about blackface photos; school confirms 'culturally insensitive' posts on social media,"('Homewood-Flossmoor students upset about blackface photos; school confirms 'culturally insensitive' posts on social media', 'chicago tribune', '2019-04-30')","('Homewood-Flossmoor students upset about blackface photos; school confirms 'culturally insensitive' posts on social media', 'chicago tribune', '2019-04-30')",n-r->n-r,n-r,n-r,Offensive & Objectionable Content_Hateful Content,Restricted from job/school,Snapchat,https://www.chicagotribune.com/2019/04/30/homewood-flossmoor-students-upset-about-blackface-photos-school-confirms-culturally-insensitive-posts-on-social-media/
21469,"Hounded Online and in Person, Woman Apologizes for Abusing Cat","('Hounded Online and in Person, Woman Apologizes for Abusing Cat', 'new york times', '2010-08-25')","('Hounded Online and in Person, Woman Apologizes for Abusing Cat', 'new york times', '2010-08-25')",1-r->n-r,1-r,n-r,Offensive & Objectionable Content_Graphic&Violent Content,"Public Apology, Legal Action","Facebook, Youtube",https://archive.nytimes.com/thelede.blogs.nytimes.com/2010/08/25/hounded-online-and-in-person-woman-apologizes-for-abusing-cat/
14958,Israeli soldiers given a dressing down for scantily-clad poses on Facebook,"('Israeli soldiers given a dressing down for scantily-clad poses on Facebook', 'the daily telegraph', '2013-06-04')","('Israeli soldiers given a dressing down for scantily-clad poses on Facebook', 'the daily telegraph', '2013-06-04')",n-r->n-r,n-r,n-r,Offensive & Objectionable Content_Nudity & Sexual Activity,Restricted from job/school,Facebook,https://www.koreatimes.co.kr/world/20130605/female-israeli-soldiers-disciplined-for-unbecoming-behavior
34857,"Kangana Ranaut's team hits back at Kubbra Sait after she calls her Twitter handle 'toxic', Sushant Singh Rajput's niece shares an anecdote","('Kangana Ranaut's team hits back at Kubbra Sait after she calls her Twitter handle 'toxic', Sushant Singh Rajput's niece shares an anecdote', 'the hindustan times', '2020-08-11')","('Kangana Ranaut's team hits back at Kubbra Sait after she calls her Twitter handle 'toxic', Sushant Singh Rajput's niece shares an anecdote', 'the hindustan times', '2020-08-11')",1-i->1-i,1-i,1-i,Offensive & Objectionable Content__Hateful Content,,Twitter,https://www.hindustantimes.com/bollywood/kangana-ranaut-s-team-hits-back-at-kubbra-sait-after-she-calls-her-twitter-handle-toxic-sushant-singh-rajput-s-niece-shares-an-anecdote/story-U573RKEcfnsepoZuYCqsAN.html
44788,Kentucky newspapers suffer twin threats amid rising anti-media climate,"('Kentucky newspapers suffer twin threats amid rising anti-media climate', 'the guardian', '2017-05-30')","('Kentucky newspapers suffer twin threats amid rising anti-media climate', 'the guardian', '2017-05-30')",1-i->1-i,1-i,1-i,Offensive & Objectionable Content__Hateful Content,,Twitter,https://www.theguardian.com/us-news/2017/may/30/kentucky-newspapers-attack-anti-media
2344,Korean-American NYT reporter in hot water over anti-white tweets,"('Korean-American NYT reporter in hot water over anti-white tweets', 'the korea times', '2018-08-06')","('Korean-American NYT reporter in hot water over anti-white tweets', 'the korea times', '2018-08-06')",1-i->n-r,1-i,n-r,Offensive & Objectionable Content_Hateful Content,Public Backlash,Twitter,https://www.koreatimes.co.kr/world/20180806/korean-american-nyt-reporter-in-hot-water-over-anti-white-tweets
43633,Kulgam clashes go 'live' on Facebook in volatile Kashmir Valley,"('Kulgam clashes go 'live' on Facebook in volatile Kashmir Valley', 'the hindustan times', '2017-02-13')","('Kulgam clashes go 'live' on Facebook in volatile Kashmir Valley', 'the hindustan times', '2017-02-13')",n-r->n-r,n-r,n-r,Offensive & Objectionable Content_Graphic&Violent Content,,Facebook (Live),https://www.hindustantimes.com/india-news/clashes-go-live-on-social-media-in-volatile-kashmir-valley/story-8c16oYi5qDc0MHyCVdI0KJ.html
14116,Man accused of racist Mikaeel comments,"('Man accused of racist Mikaeel comments', 'the daily telegraph', '2014-01-23')","('Man accused of racist Mikaeel comments', 'the daily telegraph', '2014-01-23')",1-r->n-r,1-r,n-r,Offensive & Objectionable Content__Hateful Content,Legal Action,"Twitter, Facebook",https://www.bbc.com/news/uk-scotland-25802808
7541,"Man assaulted by lover's kin, clip goes viral","('Man assaulted by lover's kin, clip goes viral', 'the times of india', '2019-03-17')","('Man assaulted by lover's kin, clip goes viral', 'the times of india', '2019-03-17')",1-r->n-r,1-r,n-r,Offensive & Objectionable Content_Graphic&Violent Content,Legal Action,Social Media,https://timesofindia.indiatimes.com/city/jaipur/man-assaulted-by-lovers-kin-clip-goes-viral/articleshow/68445547.cms
62842,Man fined for sending lewd videos to subordinate,"('Man fined for sending lewd videos to subordinate', 'the straits times', '2021-03-31')","('Man fined for sending lewd videos to subordinate', 'the straits times', '2021-03-31')",1-r->1-r,1-r,1-r,Offensive & Objectionable Content_Nudity & Sexual Activity,Legal Action,Whatsapp,https://www.straitstimes.com/singapore/courts-crime/man-who-sent-sexually-explicit-videos-to-young-female-subordinate-fined-5500
50457,"Man hacks Facebook account of wife, booked","('Man hacks Facebook account of wife, booked', 'the times of india', '2016-07-01')","('Man hacks Facebook account of wife, booked', 'the times of india', '2016-07-01')",1-r->n-r,1-r,n-r,Offensive & Objectionable Content__Hateful Content,Legal Action,Facebook,https://timesofindia.indiatimes.com/city/gurgaon/man-hacks-facebook-account-of-wife-booked/articleshow/52982185.cms
37421,Man who allegedly bragged on social media about ‘putting two bodies’ on a gun is indicted in second slaying,"('Man who allegedly bragged on social media about ‘putting two bodies’ on a gun is indicted in second slaying', 'chicago tribune', '2020-04-28')","('Man who allegedly bragged on social media about ‘putting two bodies’ on a gun is indicted in second slaying', 'chicago tribune', '2020-04-28')",1-r->n-r,1-r,n-r,Offensive & Objectionable Content_Graphic&Violent Content,Legal Actioin,Facebook Live,https://www.chicagotribune.com/2020/04/28/man-who-allegedly-bragged-on-social-media-about-putting-two-bodies-on-a-gun-is-indicted-in-second-slaying/
6846,Marine Corps Air Station Miramar investigating blackface video,"('Marine Corps Air Station Miramar investigating blackface video', 'los angeles times', '2019-03-05')","('Marine Corps Air Station Miramar investigating blackface video', 'los angeles times', '2019-03-05')",n-r->n-r,n-r,n-r,Offensive & Objectionable Content_Hateful Content,Legal Action,Twitter,https://www.latimes.com/local/lanow/la-me-ln-blackface-miramar-20190305-story.html
27452,Mineurs et pornographie sur Internet : un casse-tête technique,"('Mineurs et pornographie sur Internet : un casse-tête technique', 'le monde', '2023-06-20')","('Mineurs et pornographie sur Internet : un casse-tête technique', 'le monde', '2023-06-20')",n-r->n-r,n-r,n-r,Offensive & Objectionable Content_Nudity & Sexual Activity,Legislation,Online,https://www.lemonde.fr/pixels/article/2023/06/18/mineurs-et-pornographie-sur-internet-un-casse-tete-technique_6178207_4408996.html
27343,Musk Era Has Ravaged Twitter Ads,"('Musk Era Has Ravaged Twitter Ads', 'new york times', '2023-06-06')","('Musk Era Has Ravaged Twitter Ads', 'new york times', '2023-06-06')",n-r->n-r,n-r,n-r,Offensive & Objectionable Content_Hateful Content,Platform Reputation Damage,Twitter,https://www.nytimes.com/2023/06/05/technology/twitter-ad-sales-musk.html
23844,MUSLIM MASSACRE ONLINE GAME CAUSES OUTRAGE,"('MUSLIM MASSACRE ONLINE GAME CAUSES OUTRAGE', 'the hindustan times', '2008-11-04')","('MUSLIM MASSACRE ONLINE GAME CAUSES OUTRAGE', 'the hindustan times', '2008-11-04')",1-i->n-r,1-i,n-r,Offensive & Objectionable Content__Hateful Content,Legal Action,Muslim Massacre,https://www.oneindia.com/2008/11/04/muslim-massacre-online-game-outrage-1225798380.html
5687,Myanmar army chief's Twitter account suspended over anti-Rohingya hate speech,"('Myanmar army chief's Twitter account suspended over anti-Rohingya hate speech', 'the guardian', '2019-05-16')","('Myanmar army chief's Twitter account suspended over anti-Rohingya hate speech', 'the guardian', '2019-05-16')",1-i->n-r,1-i,n-r,Offensive & Objectionable Content_Hateful Content,Platform Ban,Twitter,https://www.theguardian.com/world/2019/may/16/myanmar-army-chiefs-twitter-account-suspended-over-anti-rohingya-hate-speech
58150,Nationals comfortable with minor league team’s investigation of video targeting Ocasio-Cortez,"('Nationals comfortable with minor league team’s investigation of video targeting Ocasio-Cortez', 'the washington post', '2019-05-30')","('Nationals comfortable with minor league team’s investigation of video targeting Ocasio-Cortez', 'the washington post', '2019-05-30')",1-i->1-i,1-i,1-i,Offensive & Objectionable Content_Hateful Content,"Restricted from job/school, Public Apology",Youtube,https://www.washingtonpost.com/sports/2019/05/30/nationals-comfortable-with-minor-league-teams-investigation-video-targeting-ocasio-cortez/
24198,Normal social restraints are weakened in cyberspace. - Technology &amp; Media - International Herald Tribune,"('Normal social restraints are weakened in cyberspace. - Technology &amp; Media - International Herald Tribune', 'new york times', '2007-02-20')","('Normal social restraints are weakened in cyberspace. - Technology &amp; Media - International Herald Tribune', 'new york times', '2007-02-20')",1-r->1-r,1-r,1-r,Offensive & Objectionable Content__Hateful Content,,Online Chat,https://www.nytimes.com/2007/02/20/technology/20iht-email.4656417.html
35979,Notice against Abu Faisal for inflammatory video,"('Notice against Abu Faisal for inflammatory video', 'the times of india', '2020-06-06')","('Notice against Abu Faisal for inflammatory video', 'the times of india', '2020-06-06')",1-r->n-r,1-r,n-r,Offensive & Objectionable Content_Hateful Content,Legal Action,Social Media,https://timesofindia.indiatimes.com/city/hyderabad/notice-against-abu-faisal-for-inflammatory-video/articleshow/76225353.cms
18543,Online real-name system unconstitutional,"('Online real-name system unconstitutional', 'the korea times', '2012-08-23')","('Online real-name system unconstitutional', 'the korea times', '2012-08-23')",n-r->n-r,n-r,n-r,Offensive & Objectionable Content__Hateful Content,Legal Action,Online,https://www.koreatimes.co.kr/southkorea/20120823/online-real-name-system-unconstitutional
13948,Racist Comments Cost Conservative Parkland Student a Place at Harvard,"('Racist Comments Cost Conservative Parkland Student a Place at Harvard', 'new york times', '2019-06-17')","('Racist Comments Cost Conservative Parkland Student a Place at Harvard', 'new york times', '2019-06-17')",1-r->n-r,1-r,n-r,Offensive & Objectionable Content_Hateful Content,Restricted from job/school,Twitter,https://www.nytimes.com/2019/06/17/us/parkland-kyle-kashuv-harvard.html
56547,Readers Protest ‘Hate Speech’ in Comments Section on Down Syndrome,"('Readers Protest ‘Hate Speech’ in Comments Section on Down Syndrome', 'new york times', '2014-09-09')","('Readers Protest ‘Hate Speech’ in Comments Section on Down Syndrome', 'new york times', '2014-09-09')",1-r->n-r,1-r,n-r,Offensive & Objectionable Content__Hateful Content,,Twitter,https://archive.nytimes.com/publiceditor.blogs.nytimes.com/2014/09/09/readers-protest-hate-speech-in-comments-section-on-down-syndrome/
40297,"REVIEW --- Banning Hate Speech Won't Make Europe Any Safer --- A new EU plan aims to prevent the spread of hatred, but the continent's history shows that restricting extremist views often ends up amplifying them.","('REVIEW --- Banning Hate Speech Won't Make Europe Any Safer --- A new EU plan aims to prevent the spread of hatred, but the continent's history shows that restricting extremist views often ends up amplifying them.', 'wall street journal', '2022-02-05')","('REVIEW --- Banning Hate Speech Won't Make Europe Any Safer --- A new EU plan aims to prevent the spread of hatred, but the continent's history shows that restricting extremist views often ends up amplifying them.', 'wall street journal', '2022-02-05')",n-r->n-r,n-r,n-r,Offensive & Objectionable Content_Hateful Content,Legislation,Social Media,https://www.wsj.com/politics/will-banning-hate-speech-make-europe-safer-11643985138
28901,Russia takes its Ukraine information war into video games.,"('Russia takes its Ukraine information war into video games.', 'new york times', '2023-07-31')","('Russia takes its Ukraine information war into video games.', 'new york times', '2023-07-31')",1-i->n-r,1-i,n-r,Offensive & Objectionable Content_Hateful Content,,Online Game,https://www.nytimes.com/2023/07/30/technology/russia-propaganda-video-games.html
