Number,Title,Publication Title,Date,predicted_code,additional_entries
10,"Musk’s ‘free speech’ agenda dismantles safety work at Twitter, insiders say",the washington post,2022-11-22,11,"(EDITORIAL / Twitter purchase / Musk bears heavy responsibility for operation of social media platform, the japan news, 2022-11-23)"
11,Elon Musk’s Twitter is fast proving that free speech at all costs is a dangerous fantasy,the guardian,2022-11-28,12,"(Pattern of threats, hate against Jews on upswing via social media, chicago tribune, 2022-11-28), (Column: Elon Musk's engagement with the far right on Twitter is out of control, los angeles times, 2022-11-28), (Elon Musk's Apple Attack Sets Stage for Public Spat With Risks for Apple, Twitter; Dispute could draw new attention to how speech is monitored on the internet, wall street journal, 2022-11-29)"
12,Anushka Sharma reacts angrily after brand shares her pics without permission: 'I'm not your ambassador',the hindustan times,2022-12-19,13,
13,"Viral Videos of Rats, Roaches and Grime? This Is How New York Flatters Itself",new york times,2022-10-05,14,
14,Kremlin war critic sentenced to eight years for spreading 'fake news',the washington post,2022-12-10,15,
15,"Violence between L.A. Councilman Kevin de León, activist caught on video, sparks debate",los angeles times,2022-12-10,16,
16,"Deepika Padukone is impressed as Ranveer Singh showers her poster with kisses, but internet says 'this is too much'",the hindustan times,2022-11-04,17,
17,Shriya Saran responds to 'trolls' criticising her for kissing Andrei Koscheev in public,the hindustan times,2022-11-23,18,
18,"Ranveer Singh shares photoshopped pic with Lionel Messi, fans object to badly edited 'arm on his shoulder'",the hindustan times,2022-12-24,19,
19,DCW seeks CBI probe into Twitter child pornography case,the times of india,2022-10-02,20,
20,House of the Dragon finale reactions: Twitter is furious at that stupid thing Aemond did. Checkout hilarious memes,the hindustan times,2022-10-24,21,
21,"House of the Dragon finale leaks before release, HBO 'aggressively pulling copies from internet'",the hindustan times,2022-10-22,22,
22,Okara woman commits suicide after her 'obscene' pictures went viral,the nation,2022-10-03,23,
23,Father kills himself after son's suicide over mobile,the times of india,2022-10-07,24,"(Man commits suicide after going live on Facebook, the times of india, 2022-10-07)"
24,Woman alive but her viral suicide note foxes cops,the times of india,2022-11-14,25,
25,Lost in Roblox’s Fifa World – everything wrong with the metaverse in one place,the guardian,2022-10-20,26,
26,Sad World': Meta's New Flagship Is Falling Short --- Documents depict a glitchy metaverse with uninterested users,wall street journal,2022-10-17,27,
27,ONE OF THE MOST HATED EXECS INGAMING IS HEADING TO THE METAVERSE,bloomberg businessweek,2022-11-14,28,
28,Company Documents Show Meta's Flagship Metaverse Falling Short; Most visitors to Horizon Worlds generally don't return after first month; 'an empty world is a sad world',wall street journal,2022-10-15,29,
29,Public warned of dangers of using viral candle trend to heat homes,irish examiner,2022-10-26,30,
30,Bahrain warns against 'fake news' aiming to disrupt polls,bbc monitoring newsfile,2022-11-13,31,
31,Man booked for flaunting weapon on Instagram,the times of india,2022-12-07,32,
32,10 booked for flashing firearms on social media,the hindustan times,2022-11-24,33,"(Punjab: 3 booked after posting pictures with weapons online, the times of india, 2022-11-24), (Three booked in Ludhiana for flashing firearms on social media, the hindustan times, 2022-11-23), (Ludhiana resident booked for flashing firearms on social media, the hindustan times, 2022-12-05)"
33,41 cases lodged over arms display on social media in 3 years,the hindustan times,2022-11-20,34,
34,"Three held for glorifying arms on social media in Pathankot; 2 revolvers, car seized",the hindustan times,2022-11-22,35,
35,"Man posts pic holding weapon on FB, booked",the times of india,2022-12-13,36,
36,Elon Musk's two cents on Ukraine war face ire. Russia media says it's trolls,the hindustan times,2022-10-04,37,"(Zelenskiy hits back as Elon Musk sets up Twitter poll on annexed areas of Ukraine, the guardian, 2022-10-04), (Elon Musk tweets ‘peace plan’ for Ukraine. Chaos ensues., the washington post, 2022-10-03), (Elon Musk gets into Twitter tussle with Volodymyr Zelenskyy over plan to end Russian war, irish examiner, 2022-10-04), (Elon Musk Draws Criticism From Ukraine's Zelensky Over Russia Tweets; Tesla CEO said that Crimea—previously annexed by Moscow—belongs to Russia and that Ukraine isn't likely to win war with its bigger neighbor, wall street journal, 2022-10-03), (Business News: Credit Suisse Faced Online Attack, wall street journal, 2022-10-06), (How a Social-Media Frenzy Around Credit Suisse Rattled Its Stock; Fast-spreading rumors circulated on Reddit and Twitter, where some individual investors cheered on rumors of the bank's demise, wall street journal, 2022-10-05), (Elon Musk's Twitter Reversal Revives Takeover Bid for a Now-Weaker Firm; Social-media platform faces advertising hurdles and fallout from billionaire's efforts to quit the deal, wall street journal, 2022-10-05), (After strife with Zelensky, Elon Musk tweets: 'War is the ultimate Supreme Court', the hindustan times, 2022-10-06), (Here’s Hoping Elon Musk Destroys Twitter, new york times, 2022-10-06), (The Board Chair Squaring Up to Elon Musk in the Feud Over Twitter, new york times, 2022-10-04), (Musk poised to inherit standoff over whether Twitter ‘aids’ terrorists, the washington post, 2022-10-05), (Twitter-Elon Musk Judge Presses Ahead as Both Sides Continue Talks to Avert Trial; Delaware chancellor orders Musk's team to search for more potential messages, says some encrypted communications were likely auto-deleted, wall street journal, 2022-10-05), (In Twitter, Musk Buys the Walking Dead; Amid online ad market turmoil and legal drama, Elon Musk's path to reviving Twitter is uncertain, wall street journal, 2022-10-04)"
37,Elon Musk Foments More Geopolitical Controversy With Ukraine Internet Dispute,new york times,2022-10-14,38,
38,"Rashmika Mandanna divides Twitter as she says Bollywood has 'romantic songs', south Indian films have 'item numbers'",the hindustan times,2022-12-29,39,
39,ESSENTIAL ARTS; Journalism's Twitter pickle; Arts writers often depend on the site. Its new owner imperils that relationship.,los angeles times,2022-11-08,40,
40,Seven Stories of Rage and Regret,new york times,2022-12-17,41,
41,Elon Musk Says He Plans to Step Down as Twitter Head After Casting Doubt on Poll; Billionaire has suggested outcome of vote he called might have been rigged,wall street journal,2022-12-21,42,"(Elon Musk Casts Doubt on Poll Wanting Him Gone as Twitter Head; The billionaire has suggested the outcome of the vote he called might have been rigged, wall street journal, 2022-12-20), (Elon Musk looks set to step down as Twitter boss as 57% vote for his removal, irish examiner, 2022-12-19), (After backlash, Elon Musk is staking his leadership on a Twitter poll, the washington post, 2022-12-18), (Ex-Twitter employee sentenced for taking bribes to monitor 'users of interest' to Saudi royal family, los angeles times, 2022-12-16), (Ex-Twitter Employee Convicted of Spying Sentenced to 42 Months in Prison; Ahmad Abouammo was convicted in August of passing along private user information to Saudi Arabia, wall street journal, 2022-12-15), (Man in Twitter bribery case gets 3 years; A onetime Bay Area resident is sentenced for leaking private data to Saudi royalty., los angeles times, 2022-12-17), (""Si Musk no quiere periodistas en Twitter, que lo diga. Iremos a otro lugar"", el pais, 2022-12-17), (Tollé après la suspension de comptes Twitter de journalistes, le monde, 2022-12-17), (Platform Suspends User Who Tracked Owner's Location, wall street journal, 2022-12-15), ('Banned for what?': Koo co-founders slam Twitter for suspension of account, the hindustan times, 2022-12-17), (BUSINESS; Twitter targets journalist accounts; Firm suspends those who wrote about ban and linked to data tracking Musk's jet., los angeles times, 2022-12-16), (Twitter suspends account that monitors flight paths of Elon Musk’s private jet, the guardian, 2022-12-14), (Musk suspends journalists from Twitter, claims ‘assassination’ danger, the washington post, 2022-12-16), (Elon Musk's Twitter Suspends Accounts of Several Journalists; Social-media platform also blocks official account of rival platform Mastodon, wall street journal, 2022-12-16), (Twitter Reinstates Some Accounts of Suspended Journalists; Ban was lifted following the results of a poll Elon Musk ran on the platform, wall street journal, 2022-12-17), (Twitter suspends accounts of several journalists who had reported on Musk, the guardian, 2022-12-16), (Elon Musk speaks out after Twitter suspends several journalists who covered him, los angeles times, 2022-12-16), (BUSINESS; Twitter suspends account tracking Musk's jet, los angeles times, 2022-12-15), (Twitter restores accounts of several suspended journalists after Elon Musk puts question to a poll, los angeles times, 2022-12-17), (In Suspending Journalists on Twitter, Musk Flexes His Media Muscle, new york times, 2022-12-16), (Twitter suspends account that monitored Elon Musk's jet after ban; owner's account is also suspended, los angeles times, 2022-12-14), (Musk Reinstates Accounts For Several Journalists, new york times, 2022-12-18), (Twitter Suspends Accounts Sharing Live Locations, Including the Tracker of Elon Musk's Private Jet; Mr. Musk says real-time posting of people's locations violates doxing policies; he previously said he wouldn't suspend the @ElonJet account, wall street journal, 2022-12-15), (Twitter to suspend accounts sharing others' locations, says Musk: 'Violation...', the hindustan times, 2022-12-16), (Twitter Suspends Over 25 Accounts That Track Billionaires’ Private Planes, new york times, 2022-12-14), (Musk’s suspension of journalists on Twitter spurs U.S., international condemnation, the washington post, 2022-12-16), (Here's what Elon Musk has to say on suspending journalists' Twitter accounts, the times of india, 2022-12-17), (Elon Musk reinstates Twitter accounts of suspended journalists, the guardian, 2022-12-17), (Twitter’s action against journalists exposes its transparency problem, the washington post, 2022-12-16), (Links to rival social media platforms banned on Twitter, irish examiner, 2022-12-18), (Twitter to Ban Accounts That Promote Rival Social Media, new york times, 2022-12-18), (How Twitter's been destroyed, and how it might be saved, the washington post, 2022-12-20), (Twitter stomps out of the social media park; policy is then mysteriously lost, the hindustan times, 2022-12-19), (Reacción global contra Musk por su veto a periodistas en Twitter, el pais, 2022-12-17), (Elon Musk’s ‘Twitter files’ are an exercise in hypocrisy, the washington post, 2022-12-16), (Here's why Elon Musk changing his 'pronouns' irked people on Twitter, the times of india, 2022-12-13), (QAnon, adrift after Trump’s defeat, finds new life in Elon Musk’s Twitter, the washington post, 2022-12-14), (PERSPECTIVES; Musk is testing how low Twitter can sink; Embrace of anti-Fauci, QAnon conspiracies gives them credibility among his followers, los angeles times, 2022-12-14), (Musk digs himself a deeper hole at Twitter, the daily telegraph, 2022-12-20), (Twitter Users Fed Up Over Musk's Latest Acts, new york times, 2022-12-19), (‘The Last Straw’: Twitter Users Rage Over Elon Musk’s Latest Actions, new york times, 2022-12-18), (Elon Musk uses QAnon tactic in criticizing former Twitter safety chief, the washington post, 2022-12-12), (Elon Musk, Dr. Fauci and the Next Pandemic; A silly Twitter spat ought to help us rethink the value of trying to manipulate the public., wall street journal, 2022-12-16), (How Bots Pushing Adult Content Drowned Out Chinese Protest Tweets, new york times, 2022-12-19), (Accused 'stalker' disputes Musk's account, los angeles times, 2022-12-21), (Twitter bans, then unbans links to Facebook, Instagram, and other social media platforms, the times of india, 2022-12-20), (Elon Musk hints at a bot attack on his poll to step down as the head of Twitter, the times of india, 2022-12-21), (Pune RPO officials hint at involvement of pvt agents behind deluge of fake tweets, the hindustan times, 2022-12-21), (How Elon Musk destroyed Twitter — and how to save it, the washington post, 2022-12-19)"
42,Afternoon Update: Biden buoyant after midterms surprise; another Indigenous death in custody; and Twitter’s problematic Saudi ties,the guardian,2022-11-10,43,
43,"HC hints at huge fine, Patel takes back Twitter plea",the times of india,2022-10-28,44,
44,Russian former policeman gives online advice on draft dodging,bbc monitoring former soviet union,2022-10-20,45,
45,La UE acusa a Meta de abuso de posición dominante en Facebook,el pais,2022-12-20,46,"(Meta could lose billions in fines as Brussels accuses Facebook of 'abusing its dominance', the daily telegraph, 2022-12-20), (EU Charges Meta With Antitrust Violations Linked to Marketplace; European Commission accuses the company of unfairly tying online classified-ad service to the Facebook social network, wall street journal, 2022-12-19), (EU Alleges Antitrust Violations At Meta, wall street journal, 2022-12-20), (EU accuses Meta of competition breaches with Facebook classified ads, irish examiner, 2022-12-19), (EU Commission accuses Facebook parent Meta of antitrust rules breach, dpa international (english), 2022-12-19), (Twitter interdit les liens vers des concurrents, le monde, 2022-12-20)"
46,Saudi Arabia sentences US citizen to 16 years over tweets critical of regime,the guardian,2022-10-19,47,"(Saudis jail American man, 72, over critical tweets posted in US, the daily telegraph, 2022-10-19), (Saudi Arabia sentences U.S. citizen to 16 years in prison for tweets, the washington post, 2022-10-17)"
47,"US woman detained in Saudi Arabia over Twitter post released, family says",the guardian,2022-11-09,48,
48,Remove posts promoting guns within 72 hrs: Punjab police,the times of india,2022-11-27,49,"(Punjab Police give three days to remove social media posts promoting gun culture, the hindustan times, 2022-11-26), (In 72 hrs, remove posts promoting guns: Punjab cops, the times of india, 2022-11-27), (Pull posts on guns in 72 hours: Punjab police, the times of india, 2022-11-28), (Pull posts on guns in 72 hrs: Punjab police, the times of india, 2022-11-27)"
49,Rassie Erasmus hit with two-match ban for critical social media posts,irish examiner,2022-11-17,50,"(Erasmus given two-match ban for social media posts, irish times, 2022-11-18), (Rassie Erasmus suspended by World Rugby again over social media rants, the guardian, 2022-11-17), (Kyrgyz police warn against 'provocative' social media posts, bbc monitoring central asia, 2022-11-17), (In Vietnam, Facebook posts are risky. Just ask these bloggers., the washington post, 2022-11-17)"
50,Owens hits out at Erasmus tweets,the daily telegraph,2022-11-15,51,
51,The Spectacle of Grief Through Media; Maybe we shouldn't be watching families weep from the comfort of our couches at home.,wall street journal,2022-10-12,52,
52,"IFFI jury head misused platform, says Goa CM",the times of india,2022-11-30,53,
53,Kanye West is making worldwide news with controversial comments. Some Chicagoans find the rapper’s words destructive,chicago tribune,2022-10-19,54,
54,Kanye West ignites new social media controversy,the washington post,2022-10-11,55,"(Do we want social media companies to decide whether Kanye West gets a platform?, the guardian, 2022-10-12)"
55,"Kanye West’s hate-spewing, career-tanking descent through the alt-media",the washington post,2022-12-10,56,
56,"Viral video incident: CCA committee recommends fine, suspension of students",the hindustan times,2022-12-25,57,"(MP man, who slapped and kicked girlfriend, arrested after video goes viral, the hindustan times, 2022-12-25)"
57,BUSINESS; Kardashian to settle SEC's crypto allegations; Mega-influencer will pony up $1.26 million after failing to disclose she was paid to tout tokens on Instagram.,los angeles times,2022-10-04,58,"(Kardashian fined $1.26m for Instagram crypto post, the daily telegraph, 2022-10-04), (Kim Kardashian to pay €1.3m over touting crypto on her Instagram page, irish examiner, 2022-10-03)"
58,Abuse of women’s soccer players is a sadly familiar story,the washington post,2022-10-05,59,
59,Almost one-quarter of GAA players abused online,irish examiner,2022-10-11,60,
60,Here's why an old Trevor Noah video is viral now: 'India should colonise UK',the hindustan times,2022-10-21,61,
61,"Racist video circulates at Torrance high school, with Black student targeted by 'racially hateful message'",los angeles times,2022-10-27,62,"(CITY &amp; STATE; Racist video, texts are sent to Black student, los angeles times, 2022-10-29)"
62,Softer harms bill 'will still tackle racist online content',the daily telegraph,2022-11-07,63,
63,New York Post shares racist content after internal hack,the daily telegraph,2022-10-28,64,
64,‘We told you so’: For Black athletes racism from college fans is a familiar story,the guardian,2022-10-06,65,
65,"Magic' AI Avatars Are Already Losing Their Charm; When Lensa, a four-year-old photo-editing app, introduced a new AI-portrait generator in November, the internet was enthralled. But concerns have mounted, particularly among women",wall street journal,2022-12-11,66,
66,Your selfies are helping AI learn. You did not consent to this.,the washington post,2022-12-09,67,"(Your selfies are helping AI learn - and you did not consent to this, the washington post, 2022-12-12)"
67,Tech Turmoil Complicates Canada’s Policing of the Online World,new york times,2022-11-26,68,
68,TikTok psychic sued for accusing professor of killing 4 Idaho students,the washington post,2022-12-24,69,
69,HC stays transfer of UP constable who complained of bad mess food online,the times of india,2022-12-13,70,
70,Moose Wala murder case: Sacked Mansa officer seen with gangster Tinu's aide in night club in viral video,the hindustan times,2022-10-30,71,
71,I'm neither detained nor in US': Gangster Goldy Brar gives 'online interview',the times of india,2022-12-06,72,
72,Arjun Kapoor shares angry post about karma and revenge after slamming fake reports about Malaika Arora's pregnancy,the hindustan times,2022-12-01,73,
73,Iranian teenager protests against wearing of Hijab before death | Video,the hindustan times,2022-10-11,74,
74,Report: Teenage Niemann cheated in more than 100 online chess games,dpa international (english),2022-10-05,75,"(Chess teenager accused of 'blatant' cheating in 100 online matches, the daily telegraph, 2022-10-06)"
75,I name this ship … Human Lasagne?! The world’s biggest cruise ship goes viral for all the wrong reasons,the guardian,2022-11-08,76,
76,"Fake police recruitment order goes viral, home dept lodges complaint",the hindustan times,2022-11-17,77,
77,"Online 'catfishing' led to California girl's abduction, killings of her family, police say",los angeles times,2022-11-28,78,"(Man met California girl online, killed her mom, grandparents before abducting her, police say, los angeles times, 2022-11-28)"
78,How to protect freedom of speech while dealing with online hatred,irish times,2022-10-05,79,
79,Op-Ed: When a Berkeley Law debate on free speech got turned into a social media circus,los angeles times,2022-11-20,80,"(Israel to Berkeley to Twitter; When one group of law students sought to exclude certain speakers, an internal dispute swirled into a huge online debate, los angeles times, 2022-11-20)"
80,This doctor prescribes ketamine to thousands online. It’s all legal.,the washington post,2022-12-30,81,
81,"Man morphs teenager's pics, posts them online; booked",the times of india,2022-12-07,82,
82,Cannot remove sexually explicit video until given no.s that shared it: WhatsApp to Delhi HC,the hindustan times,2022-12-09,83,"(What Twitter, Meta, WhatsApp and Google told court on removing circulation of 'sexually explicit' video, the times of india, 2022-12-11)"
83,Man held for making woman's nude video,the times of india,2022-12-07,84,"(In Ajmer, man held for making woman's nude video, the times of india, 2022-12-08), (Man booked for posting former girlfriend's nude photos on social media, the hindustan times, 2022-12-08)"
84,Rape plaint filed after video surfaces,the times of india,2022-12-06,85,
85,"Man gets wife's obscene picture in Instagram DM, files complaint",the hindustan times,2022-12-26,86,
86,Man held for taking photos of women and posting it on social media with vulgar comments,the hindustan times,2022-11-25,87,
87,Gadwal police arrest man after female friend's photo goes viral,the times of india,2022-11-07,88,
88,"Man, live-in partner booked for posting wife's pics on social media",the hindustan times,2022-12-22,89,
89,Man given suspended sentence for sending TD sexually explicit videos,irish times,2022-10-22,90,"('Aide sent clip to scribe to post fake abduction, rape story on social media', the times of india, 2022-10-22), (Cops: Aide paid scribe to post fake rape story, the times of india, 2022-10-22)"
90,"Chandigarh University video leak case| No objectionable photos of other girl students found, Mohali police say in chargesheet",the hindustan times,2022-11-17,91,"(Chandigarh University video leak case: Accused student clicked pictures of fellow students, reveals forensic report, the hindustan times, 2022-10-13)"
